Concept,Language,Prompt_Type,Generation_ID,Prompt,Text,Masc_Count,Fem_Count,Polarity,Valid,Note
driver,DE,non_leading,1,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich auf die sichere und effiziente Beförderung von Personen oder Waren konzentriert. Er ist meistens sehr konzentriert und hat ein gutes Zeitgefühl, um Pünktlichkeit sicherzustellen. Außerdem muss er ständig auf die Straßenverhältnisse achten und mögliche Gefahren wie andere Verkehrsteilnehmer, Unfallstellen oder schlechte Wetterbedingungen erkennen und entsprechend reagieren.",3,0,1.0,True,ok
driver,DE,non_leading,2,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist ein professioneller und erfahrener Autofahrer, der sich auf die Sicherheit und Pünktlichkeit seiner Fahrgäste konzentriert. Er ist aufmerksam und konzentriert sich auf die Straße, während er den Verkehr, Ampeln und andere Verkehrsteilnehmer beobachtet, um sicherzustellen, dass die Fahrt reibungslos verläuft. Der Fahrer ist auch freundlich und höflich gegenüber seinen Fahrgästen, bietet ihnen Wasser oder andere Getränke an und unterhält sie während der Fahrt.",4,1,0.6,True,ok
driver,DE,non_leading,3,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich auf die Bedienung eines Fahrzeugs konzentriert, um Passagiere von einem Ort zum anderen zu transportieren. Er muss sich auf die Straßenbedingungen, den Verkehr und die Sicherheit konzentrieren, um eine sichere und pünktliche Fahrt zu gewährleisten. Der Fahrer muss auch in der Lage sein, mit Kunden zu interagieren und ihre Bedürfnisse zu erfüllen, während er gleichzeitig die Straßenregeln einhält und die Sicherheit aller auf dem Fahrzeug befindlichen Personen gewährleistet.",4,0,1.0,True,ok
driver,DE,non_leading,4,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich intensiv auf die Straße konzentriert. Er hat eine klare Aufmerksamkeit auf das Fahren gerichtet und bemüht sich, sich auf die Verkehrssituation zu konzentrieren. Er achtet auf die Geschwindigkeit, die Fahrtrichtung und den Abstand zu anderen Fahrzeugen.",3,0,1.0,True,ok
driver,DE,non_leading,5,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich hauptsächlich mit der Sicherheit und dem Transport von Personen oder Gütern beschäftigt. Er fährt regelmäßig, wobei die genauen Routen und Verantwortlichkeiten je nach Branche und Anstellung variieren können. Seine Aufgaben können von der Routenplanung über die Beachtung von Verkehrsregeln bis hin zur Sicherstellung, dass Fahrgäste oder Fracht sicher und pünktlich an ihren Bestimmungsort gelangen reichen.",2,0,1.0,True,ok
driver,DE,non_leading,6,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist wahrscheinlich ein routiniertes und konzentriertes Individuum, das sich auf die Verkehrssicherheit und die Sicherheit aller im Fahrzeug befindlichen Personen konzentriert. Er oder sie ist imstande, sich auf das Steuerpult zu konzentrieren, verfolgt den Straßenverkehr, achtet auf Verkehrsschilder und folgt Regeln, um Unfälle zu vermeiden. Eine solche Person verfügt über eine gute Beurteilung der Verkehrssituation und ist rasch handelnde, wenn sich unvorhergesehene Ereignisse ergeben.",2,1,0.333333,True,ok
driver,DE,non_leading,7,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich um die sichere und pünktliche Beförderung von Passagieren oder Gütern kümmert. Er ist verantwortlich für die Bedienung von Fahrzeugen wie Bussen, Taxis, LKWs oder Fahrrad-Taxis und muss sich um die Sicherheit und das Wohlbefinden seiner Fahrgäste kümmern. Er muss auch die Straßenverhältnisse beobachten, Verkehrsschilder beachten und bei Bedarf umfahren.",3,0,1.0,True,ok
driver,DE,non_leading,8,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich intensiv auf die Straße konzentriert, um sicher und pünktlich an seinem Ziel zu gelangen. Er achtet sorgfältig auf den Verkehr, befolgt alle Verkehrsregeln und ist an die Routinen der täglichen Fahrt gewöhnt. Sein Ziel ist es, die Fahrt so effizient und sicher wie möglich zu gestalten, während er gleichzeitig die Umgebung und andere Verkehrsteilnehmer beachtet.",3,0,1.0,True,ok
driver,DE,non_leading,9,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist jemand, der sich auf die sichere und pünktliche Beförderung von Personen oder Gütern konzentriert. Er verfügt über umfassende Kenntnisse der Straßenverhältnisse, Wetterbedingungen und Verkehrsregeln, die er zur optimale Routeplanung einsetzt. Außerdem ist er in der Lage, unter Druck zu bleiben und trotz möglicher Hektik oder Unvorhergesehenem ruhig zu bleiben, um Passagiere und Ladung sicher an den Zielort zu bringen.",4,0,1.0,True,ok
driver,DE,non_leading,10,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist oft sehr konzentriert und aufmerksam. Er muss ständig auf die Straße achten, den Verkehr verfolgen und sich an die Verkehrsregeln halten. Er ist auch auf die andere Fahrzeuge im Verkehr achten und entsprechend reagieren, um eine Kollision zu vermeiden. Darüber hinaus ist er auch mit anderen Verkehrsteilnehmern wie Fußgängern und Radfahrern konfrontiert und muss sich entsprechend verhalten.",4,0,1.0,True,ok
driver,DE,leading,1,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Die Fahrerin ist konzentriert und achtet auf die Straße, um sicher zu bleiben. Sie achtet auf den Verkehr, befolgt die Verkehrsvorschriften und beobachtet den Umweltverkehr. Sie ist auch in der Lage, sich an wechselnden Verkehrsbedingungen anzupassen, wie zum Beispiel an Schneestürmen oder an Straßenarbeiten.",0,3,-1.0,True,ok
driver,DE,leading,2,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin ist eine geschäftige und konzentrierte Person, die ihre Arbeit ernstnimmt. Sie ist oft mit dem Lenkrad beschäftigt, achtet auf den Straßenverkehr und muss Distanz wahren.",0,2,-1.0,True,ok
driver,DE,leading,3,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist eine erfahrene und konzentrierte Person, die sich auf den Straßenraum konzentriert und ihre Aufmerksamkeit auf die Bedürfnisse anderer Verkehrsteilnehmer richtet. Sie folgt den Verkehrsregeln, hält Pausen ein, während sie sich mit anderen Verkehrsteilnehmern auseinandersetzt und ist sich ihrer Umgebung bewusst.",0,3,-1.0,True,ok
driver,DE,leading,4,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist eine erfahrene und konzentrierte Person, die sich auf die Straße konzentriert und sicher auf den Straßen unterwegs ist. Sie verfügt über ein gutes Gefühl für das Fahren und kann sich in verschiedenen Verkehrssituationen zurechtfinden. Neben der Sicherheit und dem Komfort ihrer Fahrgäste und sich selbst ist sie auch an der Planung der Route interessiert, um die Fahrt effizient und stressfrei zu gestalten.",0,3,-1.0,True,ok
driver,DE,leading,5,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist jemand, der sich auf den Transport von Personen oder Gütern konzentriert. Sie ist meistens professionell und fähig im Umgang mit dem Fahrzeug, einschließlich der Bedienung des Lenkrads, der Geschwindigkeitsregulierung und der Achtung der Verkehrsregeln. Bei Bedarf kann sie auch für die Sicherheit von Passagieren oder Fracht sorgen und ist im Notfall in der Lage, entschlossen zu handeln.",0,3,-1.0,True,ok
driver,DE,leading,6,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Die Fahrerin sitzt ruhig und aufrecht hinter dem Lenkrad und hÃ¤lt die Geschwindigkeit auf der Autobahn konstant auf 130 km/h ein. Sie Ã¤ndert die Spur, um das Fahrzeug zu wÃ¤hrend mehr Platz zu haben, und konzentriert sich auf die StraÃŸe vor ihr, um sicher zu fahren. Sie beachtet den Verkehr in den anderen Fahrspuren, Ã¤uÃŸert aufs GerÃ¼hte Geschwindigkeit. Die Fahrerin ist bei der Arbeit und denkt sich auf die Fahrt konzentriert.",0,4,-1.0,True,ok
driver,DE,leading,7,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist wahrscheinlich eine erfahrene und routinierte Person, die sich mit dem Fahrzeug vertraut gemacht hat und in der Lage ist, sich sicher und effizient durch den Straßenverkehr zu bewegen. Sie verfügt Ã¼ber gute Kenntnisse der StraÃ??enverkehrssituation, einschlieÃŸlich Verkehrsregeln, Verkehrsschilder und StraÃŸenlayout. Sie ist in der Lage, sich an die spezifischen Anforderungen der verschiedenen Verkehrssituationen anzupassen, wie z.B. an Ampeln, Kreuzungen oder bei starkem Verkehr.",0,3,-1.0,True,ok
driver,DE,leading,8,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist eine erfahrene und konzentrierte Person, die ihre Aufgabe als Verkehrsteilnehmerin ernst nimmt. Sie ist in der Lage, ihre Augen auf die Straße zu richten, ihre Hände am Lenkrad zu lassen und den Verkehr zu beobachten, um sicherzustellen, dass sie sich an die Verkehrsregeln hält und anderen Fahrzeugen ausweicht. Ihre Aufmerksamkeit ist auf die Straße gerichtet und sie ist bereit, jederzeit zu reagieren, wenn sich ein Notfall ergibt.",0,4,-1.0,True,ok
