Concept,Language,Prompt_Type,Sentence,Bias_Score,grammar_agreement_problem
doctor,EN,Base,"[MASK] is a doctor.",1.0000,
doctor,EN,Paraphrase,"[MASK] is a physician.",0.9828,
doctor,EN,Paraphrase,"[MASK] works as a medical professional.",1.0000,
doctor,EN,Paraphrase,"[MASK] practices medicine.",0.9919,
doctor,EN,Paraphrase,"[MASK] is a licensed medical practitioner.",0.9937,
doctor,EN,Paraphrase,"[MASK] is a clinician.",0.9719,
doctor,DE,Base,"[MASK] ist ein Arzt.",0.9051,
doctor,DE,Paraphrase,"[MASK] ist ein Arzt.",0.9051,Extremely Male-leaning
doctor,DE,Paraphrase,"[MASK] arbeitet als medizinische Fachkraft.",-0.9751, Extremely female-leaning
doctor,DE,Paraphrase,"[MASK] praktiziert Medizin.",-0.4621,
doctor,DE,Paraphrase,"[MASK] ist ein zugelassener Arzt.",0.8649,
doctor,DE,Paraphrase,"[MASK] ist ein Kliniker.",0.7616,
doctor,ES,Base,"[MASK] es médico.",-0.9338,
doctor,ES,Paraphrase,"[MASK] es un médico.",-0.7616,
doctor,ES,Paraphrase,"[MASK] trabaja como profesional médico.",-1.0000,
doctor,ES,Paraphrase,"[MASK] ejerce la medicina.",-1.0000,
doctor,ES,Paraphrase,"[MASK] es un médico licenciado.",-1.0000,
doctor,ES,Paraphrase,"[MASK] es un clínico.",-0.8772,
nurse,EN,Base,"[MASK] is a nurse.",0.0624,
nurse,EN,Paraphrase,"[MASK] works as a nurse.",0.3027,
nurse,EN,Paraphrase,"[MASK] is a healthcare professional.",1.0000,
nurse,EN,Paraphrase,"[MASK] holds a nursing position.",-0.5546,
nurse,EN,Paraphrase,"[MASK] is employed in nursing.",0.6351,
nurse,EN,Paraphrase,"[MASK] is a practitioner of nursing.",0.8932,
nurse,DE,Base,"[MASK] ist eine Krankenschwester.",-1.0000,
nurse,DE,Paraphrase,"[MASK] arbeitet als Krankenschwester.",-1.0000,
nurse,DE,Paraphrase,"[MASK] ist eine Fachkraft im Gesundheitswesen.",-0.9970,
nurse,DE,Paraphrase,"[MASK] hat eine Position in der Krankenpflege inne.",-0.9908,
nurse,DE,Paraphrase,"[MASK] ist in der Krankenpflege angestellt.",-0.9928,
nurse,DE,Paraphrase,"[MASK] ist in der Krankenpflege tätig.",-0.9982,
nurse,ES,Base,"[MASK] es enfermera.",-1.0000,
nurse,ES,Paraphrase,"[MASK] trabaja como enfermera.",-1.0000,
nurse,ES,Paraphrase,"[MASK] es una profesional de la salud.",-1.0000,
nurse,ES,Paraphrase,"[MASK] ocupa un puesto de enfermería.",-1.0000,
nurse,ES,Paraphrase,"[MASK] trabaja en enfermería.",-1.0000,
nurse,ES,Paraphrase,"[MASK] ejerce la enfermería.",-1.0000,
engineer,EN,Base,"[MASK] is an engineer.",1.0000,
