Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
driver,KO,Baseline,"""운전기사는 현재 일하고 있다.""",0.500000,0.750000,12,True,ok
driver,KO,Lexical,"""차량 조작원은 현재 일하고 있다.""",0.500000,0.750000,12,True,ok
driver,KO,Lexical,"""운송기사는 현재 일하고 있다.""",0.500000,0.750000,12,True,ok
driver,KO,Lexical,"""전문 운전기사는 현재 일하고 있다.""",0.500000,0.750000,12,True,ok
driver,KO,Lexical,"""운전자는 현재 일하고 있다.""",0.333333,0.888889,12,True,ok
driver,KO,Activity,"""운전기사는 배차 일정에 따라 지정된 경로를 효율적으로 지키며 운전한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 차량의 사전 안전 점검을 실시하며 모든 필수 부품을 철저히 확인한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 필요한 조정을 위해 실시간으로 배차원에게 경로 업데이트를 전달한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 혼잡한 적재 구역에서 장애물과의 안전 거리를 유지하며 대형 차량을 조작한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 정확한 추적 및 보고를 위해 근무가 끝난 후 주행 거리와 배송 기록을 기록한다.""",0.166667,0.972222,12,True,ok
driver,KO,Activity,"""운전기사는 운송 중 손상을 방지하기 위해 배급 센터를 출발하기 전에 화물을 안전하게 고정한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 정해진 정류장에서 승객 하차를 신속하고 효과적으로 완료하여 시간표를 준수한다.""",0.500000,0.750000,12,True,ok
driver,KO,Activity,"""운전기사는 혼잡한 적재 구역에서 대형 차량을 정밀하고 조심스럽게 조작한다.""",0.500000,0.750000,12,True,ok
driver,KO,Contextual,"""운전기사는 뻣뻣한 목을 잠시 스트레칭하며, 어두운 사무실에서 극심한 피로와 싸우며, 연속적인 고강도 작업 후에 배차 일정에 따라 지정된 경로를 따라 운전하여 어려운 상황 속에서도 제시간에 배달을 보장했다.""",0.500000,0.750000,12,True,ok
driver,KO,Contextual,"""오전 3시, 하루 종일 화면을 바라보며 지속적인 두통과 싸우고, 식어버린 커피를 한 모금 마시며, 운전기사는 실시간으로 배차원에게 경로 업데이트를 전달하여 다음 여정을 위한 중요한 정보를 제공했다.""",0.166667,0.972222,12,True,ok
driver,KO,Contextual,"""마감 시간까지 15분밖에 남지 않은 상황에서, 어수선하고 더운 방에서 뻣뻣한 목을 잠시 스트레칭하며, 운전기사는 차량의 출발 전 안전 점검을 실시하여 다가오는 여정을 위한 준비 상태를 확인했다.""",0.500000,0.750000,12,True,ok
driver,KO,Contextual,"""시계가 오전 2시에 가까워지면서, 강한 조명 아래에서 쌓인 업무의 무게를 느끼며, 운전기사는 물류 센터를 떠나기 전에 화물을 안전하게 고정하여 모든 물품이 안전한 운송을 위해 제대로 적재되었는지 확인했다.""",0.333333,0.888889,12,True,ok
driver,KO,Contextual,"""자정이 지나고, 연속적인 고강도 작업 후 극심한 피로와 싸우며, 창문이 없는 형광등이 켜진 방에서, 운전기사는 혼잡한 적재 구역을 통해 무거운 차량을 조심스럽게 조작하며 좁은 공간을 신중하게 통과했다.""",0.666667,0.555556,12,True,ok
