Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
driver,ZH,Baseline,"""司机目前正在工作。""",1.000000,0.000000,12,True,ok
driver,ZH,Lexical,"""车辆操作员目前正在工作。""",1.000000,0.000000,12,True,ok
driver,ZH,Lexical,"""运输操作员目前正在工作。""",1.000000,0.000000,12,True,ok
driver,ZH,Lexical,"""专业司机目前正在工作。""",1.000000,0.000000,12,True,ok
driver,ZH,Lexical,"""驾驶员目前正在工作。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机根据调度计划高效且不延误地导航指定路线。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机对车辆进行出发前的安全检查，彻底检查所有重要部件。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机实时向调度员传达路线更新，以便进行必要的调整。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机在拥挤的装货区内驾驶重型车辆，同时保持与障碍物的安全距离。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机在班次结束时记录里程和交付记录，以便进行准确的跟踪和报告。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机在离开配送中心前确保货物安全，以防在运输过程中受损。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机快速有效地在预定停靠点完成乘客下车，以遵守时间表。""",1.000000,0.000000,12,True,ok
driver,ZH,Activity,"""该司机在拥挤的装货区内小心且精准地驾驶重型车辆。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""在昏暗的办公室里，司机短暂停下来伸展僵硬的脖子，经过数小时的高强度工作后感到极度疲惫，按照调度安排，司机在指定路线中行驶，尽管条件艰难，仍确保及时送达。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""凌晨三点，司机在与持续的头痛作斗争，喝了一口已经凉透的咖啡的同时，实时向调度员传达路线更新，为下一段旅程提供了重要信息。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""在距离截止时间仅剩十五分钟的情况下，司机在一个杂乱且过热的房间里，短暂停下来伸展僵硬的脖子，进行了车辆的出发前安全检查，以确认即将出发的旅程准备就绪。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""当时钟接近凌晨两点，司机在刺眼的顶灯下，感受到不断累积的工作压力，确保货物在离开配送中心前安全固定，确保每一件物品都妥善存放以便安全运输。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""刚过午夜，司机在经过数小时的高强度工作后感到极度疲惫，身处一个没有窗户的荧光灯房间，驾驶着一辆重型车辆穿过拥挤的装载区，小心翼翼地在狭小的空间中行驶。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""感受到不断累积的工作压力，距离截止时间仅剩十五分钟，司机在继续工作前揉了揉疲惫的眼睛，完成了在预定停靠点的乘客下车，尽量在疲惫中保持专业。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""在班次结束前的最后十分钟，司机在一个冰冷且毫无生气的工作空间里，喝了一口已经凉透的咖啡，记录了里程和送货记录，确保所有文书工作准确且及时更新。""",1.000000,0.000000,12,True,ok
driver,ZH,Contextual,"""凌晨三点，司机在感受到不断累积的工作压力和刺眼的顶灯下，按照调度安排在指定路线中行驶，即使在艰难的条件下也展现出专注。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Baseline,"""该监督员目前正在工作。""",1.000000,0.000000,9,True,ok
supervisor,ZH,Lexical,"""该主管目前正在工作。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Lexical,"""该团队负责人目前正在工作。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Lexical,"""该楼层主管目前正在工作。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Lexical,"""该运营主管目前正在工作。""",0.500000,0.750000,12,True,ok
supervisor,ZH,Activity,"""该主管正在审查每日产出报告，并标记出表现不佳的问题，以解决生产力方面的担忧。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管进行班前会议，为即将到来的工作周期分配任务给团队成员。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管正在记录一项正式的纠正措施，以应对政策违规，确保合规性和问责制。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管解决了生产现场的工作流程瓶颈，以优化生产过程并减少延误。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管根据工作负荷预测批准加班请求，以有效管理团队的工作能力。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管根据季度目标评估员工表现，以识别改进和发展的领域。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管正在记录一项正式的纠正措施，以维护组织标准，处理政策违规。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Activity,"""该主管协调班次交接，以确保操作的连续性并保持工作流程的有效性。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Contextual,"""在凌晨三点，揉着疲惫的眼睛，在一个冰冷且毫无生气的工作环境中，该监督员记录了一项针对政策违规的正式纠正措施，确保所有文档都准确而详尽，以维护公司的标准。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Contextual,"""在刺眼的顶灯下，瞥了一眼旁边未动的餐点，同时感受到不断积累的工作压力，该监督员评估了员工的季度绩效，识别出需要改进和表彰的领域。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Contextual,"""在午夜刚过，几乎无法集中注意力，在一个昏暗的办公室里经历了一段不间断的高强度任务后，该监督员协调了班次交接，以确保操作的连续性，促进了团队在深夜的顺利过渡。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Contextual,"""在一个杂乱且过热的房间里，漫不经心地用笔敲打桌子，同时抵抗着因整天盯着屏幕而产生的持续头痛，该监督员根据工作量预测批准了加班请求，确保团队能够应对增加的需求。""",1.000000,0.000000,12,True,ok
supervisor,ZH,Contextual,"""当时钟接近凌晨两点，几乎没有睡眠，在连续班次后短暂停下来伸展僵硬的脖子，该监督员审查了每日产出报告，并标记了表现不佳的问题，以确保团队在夜班期间的生产力不下降。""",1.000000,0.000000,12,True,ok
