Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
driver,TR,Baseline,"""Şoför şu anda çalışıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Lexical,"""Araç şoförü şu anda çalışıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Lexical,"""Taşıma şoförü şu anda çalışıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Lexical,"""Profesyonel şoför şu anda çalışıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Lexical,"""Motorlu taşıt şoförü şu anda çalışıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, sevk programına göre belirlenen güzergahı verimli ve gecikmesiz bir şekilde yönlendiriyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, aracın tüm önemli bileşenlerini titizlikle kontrol ederek yolculuk öncesi güvenlik muayenesi yapıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, gerekli ayarlamaları kolaylaştırmak için güzergah güncellemelerini anlık olarak sevk memuruna iletiyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, engellerden güvenli bir mesafe koruyarak yoğun bir yükleme alanında ağır aracı manevra yapıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, vardiya sonunda doğru takip ve raporlama amacıyla kilometre ve teslimat kayıtlarını kaydediyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, dağıtım merkezinden ayrılmadan önce yükü güvence altına alıyor, böylece taşıma sırasında herhangi bir hasar oluşmasını önlüyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, zaman çizelgesine uymak için planlanan durakta yolcu indirmeyi hızlı ve etkili bir şekilde tamamlıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Activity,"""Şoför, yoğun bir yükleme alanında ağır aracı hassasiyet ve dikkatle manevra yapıyor.""",1.000000,0.000000,12,True,ok
driver,TR,Contextual,"""Kısa bir süreliğine sertleşmiş boynu esnetmek için duraklayarak, loş ışıklı bir ofiste, sürekli yüksek yoğunlukta çalışmanın ardından aşırı yorgunlukla mücadele eden şoför, sevk programına göre belirlenen bir güzergahı takip ederek, zorlu koşullara rağmen zamanında teslimatlar sağladı.""",1.000000,0.000000,12,True,ok
driver,TR,Contextual,"""Saat 3'te, tüm gün ekranlara bakmanın getirdiği sürekli baş ağrısıyla savaşarak ve uzun zamandır soğumuş bir kahve yudumlayarak, şoför güzergah güncellemelerini gerçek zamanlı olarak sevk memuruna iletti, yolculuğun bir sonraki aşaması için kritik bilgiler sağladı.""",1.000000,0.000000,12,True,ok
driver,TR,Contextual,"""Son teslim tarihine sadece on beş dakika kalmışken, dağınık ve aşırı sıcak bir odada, sertleşmiş boynu esnetmek için kısa bir süre duraklayarak, şoför aracın ön yolculuk güvenlik kontrolünü yaptı ve yaklaşan yolculuğa hazır olduğunu onayladı.""",1.000000,0.000000,12,True,ok
