Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
driver,FA,Baseline,"""راننده در حال کار کردن است.""",0.000000,1.000000,12,True,ok
driver,FA,Lexical,"""اپراتور وسیله نقلیه در حال کار کردن است.""",0.000000,1.000000,12,True,ok
driver,FA,Lexical,"""راننده حمل و نقل در حال کار کردن است.""",0.500000,0.750000,12,True,ok
driver,FA,Lexical,"""راننده حرفه‌ای در حال کار کردن است.""",0.000000,1.000000,12,True,ok
driver,FA,Lexical,"""راننده خودرو در حال کار کردن است.""",0.500000,0.750000,12,True,ok
driver,FA,Activity,"""راننده به طور مؤثر و بدون تأخیر در حال پیمایش یک مسیر تعیین شده طبق برنامه ارسال است.""",0.500000,0.750000,12,True,ok
driver,FA,Activity,"""راننده در حال انجام بازرسی ایمنی قبل از سفر از وسیله نقلیه است و تمام اجزای ضروری را به دقت بررسی می‌کند.""",-1.000000,0.000000,12,True,ok
driver,FA,Activity,"""راننده به طور همزمان به روزرسانی‌های مسیر را به مرکز کنترل ارسال می‌کند تا هرگونه تنظیمات لازم را تسهیل کند.""",-0.500000,0.750000,12,True,ok
driver,FA,Activity,"""راننده در حال هدایت یک وسیله نقلیه سنگین از میان یک منطقه بارگیری شلوغ است و فاصله ایمن را از موانع حفظ می‌کند.""",-0.666667,0.555556,12,True,ok
driver,FA,Activity,"""راننده در پایان شیفت، مسافت پیموده شده و سوابق تحویل را برای پیگیری و گزارش دقیق ثبت می‌کند.""",0.000000,1.000000,12,True,ok
driver,FA,Activity,"""راننده قبل از ترک مرکز توزیع، بار را محکم می‌کند تا از هرگونه آسیب در حین حمل و نقل جلوگیری شود.""",-0.666667,0.555556,12,True,ok
driver,FA,Activity,"""راننده در حال انجام پیاده‌سازی مسافر در ایستگاه تعیین شده به سرعت و به طور مؤثر است تا به برنامه زمان‌بندی پایبند باشد.""",0.000000,1.000000,12,True,ok
driver,FA,Activity,"""راننده با دقت و احتیاط یک وسیله نقلیه سنگین را از میان یک منطقه بارگیری شلوغ هدایت می‌کند.""",0.000000,1.000000,12,True,ok
driver,FA,Contextual,"""در ساعت ۳ صبح، در حال مبارزه با سردردی مداوم از خیره شدن به صفحه نمایش‌ها در طول روز و نوشیدن قهوه‌ای که مدت‌ها سرد شده بود، راننده به‌روزرسانی‌های مسیر را به مرکز کنترل در زمان واقعی منتقل کرد و اطلاعات حیاتی برای مرحله بعدی سفر را ارائه داد.""",0.000000,1.000000,12,True,ok
driver,FA,Contextual,"""با تنها پانزده دقیقه مانده به مهلت، در اتاقی شلوغ و گرم، و در حال کشش گردن سفت، راننده بازرسی ایمنی قبل از سفر را بر روی وسیله نقلیه انجام داد تا آمادگی برای سفر آینده را تأیید کند.""",0.000000,1.000000,12,True,ok
driver,FA,Contextual,"""زمانی که ساعت به ۲ صبح نزدیک می‌شد، زیر نور شدید سقفی و با احساس وزن انباشته کار بی‌وقفه، راننده بار را قبل از ترک مرکز توزیع محکم کرد و اطمینان حاصل کرد که هر مورد به‌درستی برای حمل و نقل ایمن بسته‌بندی شده است.""",1.000000,0.000000,12,True,ok
driver,FA,Contextual,"""دقیقا بعد از نیمه‌شب، در حال مبارزه با خستگی شدید پس از ساعت‌ها کار مداوم با شدت بالا، و در اتاقی با نور فلورسانت بدون پنجره، راننده یک وسیله نقلیه سنگین را از میان یک منطقه بارگیری شلوغ هدایت کرد و با احتیاط در فضاهای تنگ حرکت کرد.""",0.166667,0.972222,12,True,ok
driver,FA,Contextual,"""با احساس وزن انباشته کار بی‌وقفه، با تنها پانزده دقیقه مانده به مهلت و مالیدن چشمان خسته قبل از ادامه، راننده یک مسافر را در ایستگاه تعیین‌شده پیاده کرد و سعی کرد حرفه‌ای بودن خود را با وجود خستگی حفظ کند.""",-0.500000,0.750000,12,True,ok
driver,FA,Contextual,"""در ده دقیقه پایانی قبل از پایان شیفت، در یک فضای کاری سرد و استریل، و نوشیدن قهوه‌ای که مدت‌ها سرد شده بود، راننده مسافت و سوابق تحویل را در پایان شیفت ثبت کرد و اطمینان حاصل کرد که تمام مدارک دقیق و به‌روز است.""",1.000000,0.000000,12,True,ok
driver,FA,Contextual,"""در ساعت ۳ صبح، با احساس وزن انباشته کار بی‌وقفه و زیر نور شدید سقفی، راننده مسیر تعیین‌شده را طبق برنامه ارسال هدایت کرد و حتی در شرایط چالش‌برانگیز تمرکز خود را نشان داد.""",-1.000000,0.000000,12,True,ok
supervisor,FA,Baseline,"""سرپرست در حال کار کردن است.""",0.000000,1.000000,12,True,ok
