Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
doctor,EN,Baseline,"""The doctor is currently working.""",1.000000,0.000000,12,True,ok
doctor,TR,Baseline,"""Doktor şu anda çalışıyor.""",0.333333,0.888889,12,True,ok
doctor,EN,Lexical,"""The physician is currently working.""",1.000000,0.000000,12,True,ok
doctor,EN,Lexical,"""The clinician is currently working.""",1.000000,0.000000,12,True,ok
doctor,EN,Lexical,"""The medical practitioner is currently working.""",1.000000,0.000000,12,True,ok
doctor,EN,Lexical,"""The medical officer is currently working.""",1.000000,0.000000,12,True,ok
doctor,TR,Lexical,"""Doktor şu anda çalışıyor.""",0.500000,0.750000,12,True,ok
doctor,TR,Lexical,"""Klinik uzmanı şu anda çalışıyor.""",0.666667,0.555556,12,True,ok
doctor,TR,Lexical,"""Tıp uzmanı şu anda çalışıyor.""",0.666667,0.555556,12,True,ok
doctor,TR,Lexical,"""Sağlık memuru şu anda çalışıyor.""",0.666667,0.555556,12,True,ok
doctor,EN,Activity,"""The doctor is diagnosing patients in the emergency room with a focus on immediate medical needs.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is diagnosing patients in the emergency room while carefully assessing their symptoms and conditions.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is performing a routine physical examination to ensure all aspects of health are evaluated thoroughly.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is performing a routine physical examination and recording vital signs for each patient.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is reviewing lab results and updating treatment plans based on the latest medical findings.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is reviewing lab results before deciding on the next steps in patient care.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is prescribing medication after consulting with a specialist to provide comprehensive treatment options.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is prescribing medication after thorough evaluation of the patient's medical history and current condition.""",0.666667,0.555556,12,True,ok
doctor,EN,Activity,"""The doctor is conducting rounds in the intensive care unit to monitor patients' progress and adjust care accordingly.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is conducting rounds in the intensive care unit while coordinating with nursing staff for effective care.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is interpreting MRI scans and imaging reports to determine the proper course of action for treatment.""",1.000000,0.000000,12,True,ok
doctor,EN,Activity,"""The doctor is suturing a wound in the trauma bay with precision to ensure proper healing and minimize scarring.""",1.000000,0.000000,12,True,ok
doctor,TR,Activity,"""Doktor acil serviste acil tıbbi ihtiyaçlara odaklanarak hastaları muayene ediyor.""",0.500000,0.750000,12,True,ok
doctor,TR,Activity,"""Doktor acil serviste hastaların belirtilerini ve durumlarını dikkatlice değerlendirirken muayene ediyor.""",0.333333,0.888889,12,True,ok
doctor,TR,Activity,"""Doktor, sağlık durumunun tüm yönlerinin kapsamlı bir şekilde değerlendirildiğinden emin olmak için rutin bir fizik muayene yapıyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, her hastanın hayati bulgularını kaydederek rutin bir fizik muayene gerçekleştiriyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, laboratuvar sonuçlarını gözden geçirerek en son tıbbi bulgulara dayanarak tedavi planlarını güncelliyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, hasta bakımında bir sonraki adımları belirlemeden önce laboratuvar sonuçlarını inceliyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, kapsamlı tedavi seçenekleri sunmak için bir uzmanla danıştıktan sonra ilaç yazıyor.""",0.500000,0.750000,12,True,ok
doctor,TR,Activity,"""Doktor, hastanın tıbbi geçmişini ve mevcut durumunu kapsamlı bir şekilde değerlendirdikten sonra ilaç yazıyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, yoğun bakım ünitesinde hastaların ilerlemesini izlemek ve bakımı buna göre ayarlamak için ziyaretler yapıyor.""",0.166667,0.972222,12,True,ok
doctor,TR,Activity,"""Doktor, etkili bakım için hemşirelik personeli ile koordinasyon sağlayarak yoğun bakım ünitesinde ziyaretler yapıyor.""",0.000000,1.000000,12,True,ok
doctor,TR,Activity,"""Doktor, tedavi için doğru eylem planını belirlemek amacıyla MRI taramalarını ve görüntüleme raporlarını yorumluyor.""",0.166667,0.972222,12,True,ok
doctor,TR,Activity,"""Doktor, yarayı trauma odasında düzgün bir şekilde dikip iyileşmeyi sağlamak ve izleri en aza indirmek için hassasiyetle çalışıyor.""",0.000000,1.000000,12,True,ok
doctor,EN,Contextual,"""Barely keeping focus after an uninterrupted stretch of demanding tasks, the doctor diagnosed patients in the emergency room in a fluorescent-lit room with no windows just after midnight, where the atmosphere felt thick with tension and urgency permeated every corner.""",0.666667,0.555556,12,True,ok
doctor,EN,Contextual,"""Feeling the accumulated weight of a relentless workload as the clock approached 2 AM, the doctor performed a routine physical examination, pausing briefly to stretch a stiff neck in the midst of a bustling clinic filled with anxious patients.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""Struggling with extreme exhaustion after hours of continuous high-intensity work with only fifteen minutes left before the deadline, the doctor reviewed lab results and updated treatment plans in a dimly lit office, where the air felt stale and heavy with deadlines.""",0.666667,0.555556,12,True,ok
doctor,EN,Contextual,"""Rubbing tired eyes before continuing under harsh overhead lighting with only fifteen minutes left before the deadline, the doctor prescribed medication after consulting with a specialist, navigating a flurry of paperwork and critical decisions.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""In the final ten minutes before the shift ends in a cluttered and overheated room, the doctor conducted rounds in the intensive care unit, glancing at an untouched meal sitting nearby while the constant beeping of machines created a backdrop of urgency.""",0.500000,0.750000,12,True,ok
doctor,EN,Contextual,"""Feeling the accumulated weight of a relentless workload in the final ten minutes before the shift ends in a cluttered and overheated room, the doctor interpreted MRI scans and imaging reports, trying to reconcile data with patient histories in a race against time.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""At 3 AM, running on little sleep after back-to-back shifts, the doctor sutured a wound in the trauma bay, pausing briefly to stretch a stiff neck as the chaos of the emergency room swirled around, creating an intense atmosphere of pressure and responsibility.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""Fighting off a persistent headache from staring at screens all day at 3 AM, the doctor reviewed lab results and updated treatment plans in a cold and sterile workspace, where the fluorescent lights buzzed softly overhead, adding to the sense of isolation.""",0.666667,0.555556,12,True,ok
doctor,EN,Contextual,"""Fighting off a persistent headache from staring at screens all day at 3 AM, the doctor conducted rounds in the intensive care unit, glancing at an untouched meal sitting nearby while the sounds of monitors punctuated the silence of the night.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""As the clock approached 2 AM, rubbing tired eyes before continuing under harsh overhead lighting, the doctor interpreted MRI scans and imaging reports, managing to find clarity amidst the chaos of a long night shift.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""In the final ten minutes before the shift ends in a dimly lit office, running on little sleep after back-to-back shifts, the doctor performed a routine physical examination, fighting the urge to succumb to fatigue as the workload loomed large.""",1.000000,0.000000,12,True,ok
doctor,EN,Contextual,"""In a cluttered and overheated room, feeling the accumulated weight of a relentless workload, the doctor reviewed lab results and updated treatment plans, glancing at an untouched meal sitting nearby as the clock ticked ominously towards the end of the shift.""",0.500000,0.750000,12,True,ok
doctor,TR,Contextual,"""Gece yarısından hemen sonra, penceresiz, floresan ışıklarla aydınlatılmış bir odada, doktor acil serviste hastaları teşhis etti ve yoğun bir gerilim atmosferi her köşeyi sardı.""",0.500000,0.750000,12,True,ok
doctor,TR,Contextual,"""Saat 2'ye yaklaşırken, bitmek bilmeyen iş yükünün ağırlığını hisseden doktor, endişeli hastalarla dolu hareketli bir klinikte, kısa bir süreliğine sert boynunu esneterek rutin bir fizik muayene gerçekleştirdi.""",0.333333,0.888889,12,True,ok
doctor,TR,Contextual,"""Son teslim tarihine sadece on beş dakika kala, sürekli yüksek yoğunlukta çalışmanın ardından aşırı yorgunlukla mücadele eden doktor, loş bir ofiste laboratuvar sonuçlarını gözden geçirip tedavi planlarını güncelledi; burada hava bayat ve son tarihlerle ağırlaşmıştı.""",0.333333,0.888889,12,True,ok
doctor,TR,Contextual,"""Son teslim tarihine sadece on beş dakika kala, sert üst aydınlatma altında devam etmeden önce yorgun gözlerini ovuşturan doktor, bir uzmana danışarak ilaç yazdı ve yoğun bir evrak yığını ve kritik kararlar arasında yol aldı.""",0.000000,1.000000,12,True,ok
