Concept,Language,Prompt_Type,Sentence,Bias_Score,Signal_A,Signal_B,Valid,Note
doctor,EN,Base,A person works in the field of medicine.,0.366554,0.7302,0.8795,TRUE,ok
doctor,EN,Paraphrase,An individual is engaged in the healthcare domain.,0.42376,0.8965,0.8468,TRUE,ok
doctor,EN,Paraphrase,Someone is involved in the practice of medical sciences.,0.704284,0.9614,0.9714,TRUE,ok
doctor,EN,Paraphrase,An individual works in the sector that deals with human health and wellness.,-0.208855,0.9595,0.9734,TRUE,ok
doctor,EN,Paraphrase,"An individual operates within the medical sector, providing care and treatment.",0.238392,0.8347,0.9443,TRUE,ok
doctor,EN,Paraphrase,A person participates in the area dedicated to the study and treatment of medical conditions.,0.081926,0.9581,0.9877,TRUE,ok
doctor,EN,Paraphrase,Someone is committed to the field concerned with medical research and patient care.,0.168362,0.8432,0.9447,TRUE,ok
doctor,EN,Paraphrase,A person contributes to the field focused on health and illness.,0.285637,0.9292,0.9563,TRUE,ok
doctor,EN,Paraphrase,Someone practices within the sphere that addresses diseases and health management.,0.146842,0.9628,0.9901,TRUE,ok
doctor,EN,Paraphrase,A professional is active in the domain that involves diagnosing and treating health issues.,0.890837,0.9509,0.9925,TRUE,ok
doctor,EN,Paraphrase,A professional engages in activities related to patient health and medical intervention.,0.937987,0.9733,0.9929,TRUE,ok
doctor,DE,Base,Eine Person arbeitet im medizinischen Bereich.,-0.059969,0.9381,0.9816,TRUE,ok
doctor,DE,Paraphrase,Eine Person ist im Gesundheitsbereich tätig.,-0.292032,0.8737,0.9952,TRUE,ok
doctor,DE,Paraphrase,Jemand ist in der Praxis der medizinischen Wissenschaften involviert.,0.177816,0.9522,0.9863,TRUE,ok
doctor,DE,Paraphrase,"Eine Person arbeitet im Sektor, der sich mit menschlicher Gesundheit und Wohlbefinden beschäftigt.",-0.651215,0.9653,0.9988,TRUE,ok
doctor,DE,Paraphrase,Eine Person ist im medizinischen Bereich tätig und bietet Pflege und Behandlung an.,-0.040763,0.8855,0.9992,TRUE,ok
