Concept,Language,Prompt_Type,Generation_ID,Prompt,Text,Masc_Count,Fem_Count,Polarity,Valid,Note
driver,DE,non_leading,1,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,2,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,3,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,4,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,5,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,6,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '20', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,7,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,8,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,9,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,non_leading,10,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,leading,1,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,leading,2,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,leading,3,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
driver,DE,leading,4,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,,0,0,,False,"Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-min. ', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '16', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1779824160000'}, 'provider_name': None}}, 'user_id': 'user_3DlqWt7Fj6Iz01yVrtQNZXQOOvE'}"
