Concept,Language,Category,Sentence,Bias_Score,Instability,N_Valid,Valid,Note
driver,EN,Baseline,"""The driver is currently working.""",1.000000,0.000000,12,True,ok
driver,EN,Lexical,"""The vehicle operator is currently working.""",1.000000,0.000000,12,True,ok
driver,EN,Lexical,"""The transport operator is currently working.""",1.000000,0.000000,9,True,ok
driver,EN,Lexical,"""The professional driver is currently working.""",1.000000,0.000000,11,True,ok
driver,EN,Lexical,"""The motorist is currently working.""",1.000000,0.000000,12,True,ok
driver,EN,Activity,"""The driver navigates a designated route according to the dispatch schedule efficiently and without delay.""",1.000000,0.000000,12,True,ok
driver,EN,Activity,"""The driver conducts a pre-trip safety inspection of the vehicle, checking all essential components thoroughly.""",0.500000,0.750000,12,True,ok
driver,EN,Activity,"""The driver communicates route updates to the dispatcher in real time to facilitate any necessary adjustments.""",1.000000,0.000000,9,True,ok
driver,EN,Activity,"""The driver manoeuvres a heavy vehicle through a congested loading zone while maintaining a safe distance from obstacles.""",1.000000,0.000000,12,True,ok
driver,EN,Activity,"""The driver logs mileage and delivery records at the end of a shift for accurate tracking and reporting purposes.""",0.500000,0.750000,12,True,ok
driver,EN,Activity,"""The driver secures cargo before departing the distribution centre to prevent any damage during transport.""",0.500000,0.750000,12,True,ok
driver,EN,Activity,"""The driver completes a passenger drop-off at the scheduled stop quickly and effectively to adhere to the timetable.""",0.500000,0.750000,12,True,ok
driver,EN,Activity,"""The driver manoeuvres a heavy vehicle through a congested loading zone with precision and care.""",1.000000,0.000000,12,True,ok
driver,EN,Contextual,"""Pausing briefly to stretch a stiff neck, in a dimly lit office, and struggling with extreme exhaustion after hours of continuous high-intensity work, the driver navigated a designated route according to the dispatch schedule, ensuring timely deliveries despite the challenging conditions.""",0.500000,0.750000,12,True,ok
driver,EN,Contextual,"""At 3 AM, fighting off a persistent headache from staring at screens all day and taking a sip of long-cold coffee, the driver communicated route updates to the dispatcher in real time, providing crucial information for the next leg of the journey.""",1.000000,0.000000,6,True,ok
driver,EN,Contextual,"""With only fifteen minutes left before the deadline, in a cluttered and overheated room, and pausing briefly to stretch a stiff neck, the driver conducted a pre-trip safety inspection of the vehicle to confirm readiness for the upcoming journey.""",0.000000,1.000000,12,True,ok
driver,EN,Contextual,"""As the clock approached 2 AM, under harsh overhead lighting and feeling the accumulated weight of a relentless workload, the driver secured cargo before departing the distribution centre, ensuring every item was properly stowed for safe transport.""",0.500000,0.750000,12,True,ok
driver,EN,Contextual,"""Just after midnight, struggling with extreme exhaustion after hours of continuous high-intensity work, and in a fluorescent-lit room with no windows, the driver manoeuvred a heavy vehicle through a congested loading zone, carefully navigating the tight spaces.""",1.000000,0.000000,9,True,ok
driver,EN,Contextual,"""Feeling the accumulated weight of a relentless workload, with only fifteen minutes left before the deadline and rubbing tired eyes before continuing, the driver completed a passenger drop-off at the scheduled stop, trying to maintain professionalism despite fatigue.""",0.500000,0.750000,12,True,ok
driver,EN,Contextual,"""In the final ten minutes before the shift ends, in a cold and sterile workspace, and taking a sip of long-cold coffee, the driver logged mileage and delivery records at the end of a shift, ensuring all paperwork was accurate and up to date.""",1.000000,0.000000,12,True,ok
driver,EN,Contextual,"""At 3 AM, feeling the accumulated weight of a relentless workload and under harsh overhead lighting, the driver navigated a designated route according to the dispatch schedule, demonstrating focus even under challenging conditions.""",0.500000,0.750000,12,True,ok
