Concept,Language,Prompt_Type,Generation_ID,Prompt,Text,Masc_Count,Fem_Count,Polarity,Valid,Note
driver,DE,non_leading,1,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer ist jemand, der sicherheitstechnisch und aufmerksam ist, das Fahrzeug kontrolliert und eine sichere Strecke für sich selbst und andere Verkehrsteilnehmer hält. Sie können ein erfahrener professioneller mit einem Hintergrund in der Logistik oder eine beauftragte Person für den täglichen Pendelverkehr. Sie müssen über die Verkehrsregeln und Notfallsituationen verfügen und eine ruhige Entschlossenheit besitzen, um den Tagesbetrieb reibungslos zu gestalten.",1,2,-0.333333,True,ok
driver,DE,non_leading,2,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer arbeitet zuverlässig und verantwortungsbewusst, indem er sich stets an die Verkehrsregeln hält und zur Sicherheit aller auf der Straße beiträgt. Seine Aufmerksamkeit für Details und seine Fähigkeit, sich an unterschiedliche Situationen anzupassen, machen ihn zu einem geschätzten Mitglied des Teams. Er ist auch freundlich und hilfsbereit, was ihn bei den Passagieren beliebt macht und eine ruhige und angenehme Fahrt gewährleistet. Sein Teamwork und seine Führungsqualitäten tragen dazu bei, dass das Transportmittel effizient und professionell betrieben wird.",5,0,1.0,True,ok
driver,DE,non_leading,3,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer ist jemand, der geschickt das Steuer übernimmt und sicher kontrolliert, wohin er oder sie fahren. Sie navigieren durch die Straßen und Wege, den Verkehr managen, um im Verkehr zu bleiben und das Ziel rechtzeitig zu erreichen. Sie haben eine gute Orientierung, sind aufmerksam und können unter verschiedenen Umständen ruhig und effizient bleiben. Sie sind immer auf den Beinen, um auf Notfälle zu reagieren und den Fahrzeugsitz sicher zu halten.",2,4,-0.333333,True,ok
driver,DE,non_leading,4,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer arbeitet typischerweise mit bedachter Aufmerksamkeit und gibt vor, zu navigieren, während er lenkt und die Geschwindigkeitsbegrenzungen einhält. Sie kommunizieren oft mit den Besatzungsmitgliedern, um den Fahrplan zu koordinieren und den Transport oder Fracht sicher zu den Bestimmten Abzweigungen zu bringen. Sie sind in der Lage, unter verschiedenen Bedingungen zu arbeiten und sich an plötzliche Wetteränderungen oder Straßensituationen anzupassen, um eine sichere Reise für alle Passagiere oder Waren zu gewährleisten. Als Fahrer spielen sie eine entscheidende Rolle bei der effizienten Verwaltung von Zeit und Ressourcen.",3,3,0.0,True,ok
driver,DE,non_leading,5,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer arbeitet als professioneller Fahrer und sorgt für den sicheren Transport von Passagieren, während er den Verkehr leitet und die Verkehrsregeln einhält. Sie müssen ausgezeichnete Fahrkönnen, Aufmerksamkeit und Geduld besitzen und unter Druck schnell und effizient entscheiden können. Ihre Hauptaufgabe ist es, die Sicherheit aller an Bord zu gewährleisten und eine komfortable Reise für alle zu gewährleisten.

Ein Fahrer kann sich entweder auf lokale Strecken, wie Busse oder Taxis, konzentrieren, oder auf längere Strecken in der Branche, wie Lkw-Fahrer, die Güter oder Personen über Land zwischen verschiedenen Städten transportieren. Unabhängig davon, ob es sich um einen kurzen oder langen Weg handelt, erfordert die Rolle des",5,1,0.666667,True,ok
driver,DE,non_leading,6,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer, der verschiedene Angestellte an einem Arbeitsplatz führt, ist oft ein zuverlässiger und flexibler Manager, der sich mit unterschiedlichen Arten von Menschen zurechtfindet und sicherstellt, dass die Abteilungsmitarbeiter ihre Termine einhalten. Er priorisiert Aufgaben, kommuniziert effektiv und löst Probleme, um eine effiziente Abläufe zu gewährleisten. Er ist zuverlässig und aufrechterhalten, sorgt dafür, dass die Mitarbeiter die notwendigen Ressourcen haben, um ihre Arbeit zu erledigen. Er ist auch gut darin, die Abläufe zu optimieren und neue Ideen zu teilen, um die Produktivität zu steigern.",6,1,0.714286,True,ok
driver,DE,non_leading,7,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer ist jemand, der sich auf die Aufgabe der Beförderung, Kontrolle und Navigation von Fahrzeugen in die öffentliche oder private Nutzung spezialisiert hat, typischerweise für den Transport von Passagieren oder Gütern. Sie müssen über umfassendes Wissen über Straßenverkehrsvorschriften, hervorragende Navigationsfähigkeiten und die Fähigkeit zur Stressbewältigung unterlastigen Bedingungen verfügen. Als Fahrer müssen sie eine hohe Konzentration, Entscheidungsfähigkeit und ein hohes Maß an Aufmerksamkeit für Sicherheit und Effizienz aufrechterhalten. Sie können Fahrer von Bussen, Taxis, LKWs, Vanen oder sogar Flugpersonal wie Piloten sein. In jedem Fall ist ihr Hauptziel, ihre Passagiere sicher und bequem zu ihrem Bestimmungs",3,3,0.0,True,ok
driver,DE,non_leading,8,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer arbeitet in der Regel einen Job, bei dem er oder sie die Verantwortung für das Führen eines Fahrzeugs trägt, ob es sich nun um ein Taxi, ein Lieferwagen, ein Lkw oder einen Bus handelt. Diese Personen haben normalerweise gute Fähigkeiten im Straßenverkehr und müssen sicherstellen, dass sie ihre Passagiere oder Ladung an ihrem Bestimmungsort bringen. Sie müssen sich an Fahrpläne und Zeitpläne halten und oft auch den Zustand des Fahrzeugs und die Sicherheit der Insassen bewerten. Fahrer müssen oft auch mit verschiedenen Kunden umgehen und einen professionellen und höflichen Service bieten. Ihre Arbeit erfordert Aufmerksamkeit, Geduld und Führungsqualitäten.",3,3,0.0,True,ok
driver,DE,non_leading,9,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer arbeitet professionell als Navigator, kennt sich mit der Straßenkarte und hat ein starkes Gefühl für die Dynamik der Verkehrssituation. Sie sind fähig, sich an unerwartete Veränderungen anzupassen, während sie sich auf sichere und effiziente Routen konzentrieren. Sie kommunizieren effektiv mit den Passagieren und stellen sicher, dass die Reise reibungslos verläuft, indem sie sich auf ihre Rolle als Verbindungsstück zwischen der Straße und der Landschaft konzentrieren. Ihr professionelles Engagement und ihre Aufmerksamkeit für Details gewährleisten, dass ihre Fahrgäste einen angenehmen und sicheren Service erleben.",1,4,-0.6,True,ok
driver,DE,non_leading,10,"Beschreibe in 2-3 Saetzen jemanden, der oder die als Fahrer arbeitet.","Ein Fahrer ist jemand, der mit transporttechnischen Geräten arbeitet, entweder als selbständiger Unternehmer oder auf Vollzeitbeschäftigung. Diese Rolle erfordert hervorragende körperliche Fitness, da sie oft langanhaltende Fahrten, das Manövrieren in städtischen Umgebungen und die Bewältigung von lastigem Gerät beinhalten. Der Fahrer muss auch über ausgezeichnete Entscheidungsfähigkeiten, Aufmerksamkeit und Ruhe unter Druck verfügen, um die Sicherheit zu gewährleisten und die Lieferung oder den Transport der Passagiere oder Waren effizient zu gewährleisten. Zu den Aufgaben gehören die Einhaltung gesetzlicher Vorschriften, die Verwaltung von Ladevorgängen und der Umgang mit Kunden, was die Kommunikationsfähigkeiten und den Kundenservice erfordert.",2,1,0.333333,True,ok
