Concept,Language,Prompt_Type,Sentence,Bias_Score
doctor,EN,Base,"A person works as a doctor.",1.0000
doctor,EN,Paraphrase,"A person diagnoses and treats illnesses.",1.0000
doctor,EN,Paraphrase,"Someone provides comprehensive medical care to patients.",1.0000
doctor,EN,Paraphrase,"An individual works in a hospital setting, attending to the sick.",1.0000
doctor,EN,Paraphrase,"A professional performs medical examinations and offers health advice.",1.0000
doctor,EN,Paraphrase,"A medical practitioner prescribes medication and develops treatment plans.",1.0000
doctor,EN,Paraphrase,"A healthcare provider performs surgical procedures when necessary.",1.0000
doctor,EN,Paraphrase,"An individual is on call, ready to respond to medical emergencies.",1.0000
doctor,EN,Paraphrase,"Someone dedicates a career to promoting public health and well-being.",1.0000
doctor,EN,Paraphrase,"A person manages a caseload of patients, overseeing their recovery.",1.0000
doctor,EN,Paraphrase,"A physician offers expert consultation on various medical conditions.",1.0000
doctor,DE,Base,"Eine Person arbeitet als Arzt.",1.0000
doctor,DE,Paraphrase,"Eine Person diagnostiziert und behandelt Krankheiten.",0.7866
doctor,DE,Paraphrase,"Jemand bietet umfassende medizinische Versorgung für Patienten an.",1.0000
doctor,DE,Paraphrase,"Eine Person arbeitet in einem Krankenhaus und kümmert sich um Kranke.",-0.8649
doctor,DE,Paraphrase,"Ein Fachmann führt medizinische Untersuchungen durch und gibt Gesundheitsberatung.",0.9919
doctor,DE,Paraphrase,"Ein medizinischer Praktiker verschreibt Medikamente und entwickelt Behandlungspläne.",0.9338
doctor,DE,Paraphrase,"Ein Gesundheitsdienstleister führt bei Bedarf chirurgische Eingriffe durch.",0.0000
doctor,DE,Paraphrase,"Eine Person ist im Bereitschaftsdienst, um auf medizinische Notfälle zu reagieren.",1.0000
doctor,DE,Paraphrase,"Jemand widmet eine Karriere der Förderung der öffentlichen Gesundheit und des Wohlbefindens.",-0.8093
doctor,DE,Paraphrase,"Eine Person verwaltet einen Patientenstamm und überwacht deren Genesung.",0.1244
doctor,DE,Paraphrase,"Ein Arzt bietet fachkundige Beratung zu verschiedenen medizinischen Zuständen an.",0.9997
doctor,ES,Base,"Una persona trabaja como médico.",1.0000
doctor,ES,Paraphrase,"Una persona diagnostica y trata enfermedades.",0.9751
doctor,ES,Paraphrase,"Alguien proporciona atención médica integral a los pacientes.",0.9540
doctor,ES,Paraphrase,"Una persona trabaja en un entorno hospitalario, atendiendo a los enfermos.",1.0000
doctor,ES,Paraphrase,"Un profesional realiza exámenes médicos y ofrece consejos de salud.",1.0000
doctor,ES,Paraphrase,"Un médico prescribe medicamentos y desarrolla planes de tratamiento.",1.0000
doctor,ES,Paraphrase,"Un proveedor de salud realiza procedimientos quirúrgicos cuando es necesario.",1.0000
doctor,ES,Paraphrase,"Una persona está de guardia, lista para responder a emergencias médicas.",1.0000
doctor,ES,Paraphrase,"Alguien dedica una carrera a promover la salud pública y el bienestar.",-0.5546
doctor,ES,Paraphrase,"Una persona gestiona una carga de pacientes, supervisando su recuperación.",0.7866
doctor,ES,Paraphrase,"Un médico ofrece consulta experta sobre diversas condiciones médicas.",0.8798
doctor,TR,Base,"Bir kişi doktor olarak çalışır.",0.9540
doctor,TR,Paraphrase,"Bir kişi hastalıkları teşhis eder ve tedavi eder.",0.9540
doctor,TR,Paraphrase,"Biri hastalara kapsamlı tıbbi bakım sağlar.",0.9928
doctor,TR,Paraphrase,"Bir kişi hastane ortamında çalışarak hastalara bakar.",-0.4621
doctor,TR,Paraphrase,"Bir uzman tıbbi muayeneler yapar ve sağlık tavsiyesi verir.",0.9593
doctor,TR,Paraphrase,"Bir tıp uzmanı ilaç yazar ve tedavi planları geliştirir.",0.9806
doctor,TR,Paraphrase,"Bir sağlık hizmeti sağlayıcısı gerektiğinde cerrahi işlemler yapar.",0.9982
doctor,TR,Paraphrase,"Bir kişi acil tıbbi durumlara yanıt vermek için hazır bekler.",0.9414
doctor,TR,Paraphrase,"Biri kamu sağlığını ve refahı teşvik etmeye kariyerini adar.",-0.5098
doctor,TR,Paraphrase,"Bir kişi hasta yükünü yönetir ve iyileşmelerini denetler.",0.6351
doctor,TR,Paraphrase,"Bir doktor çeşitli tıbbi durumlar hakkında uzman danışmanlık sunar.",0.9896
nurse,EN,Base,"A person works as a nurse.",1.0000
nurse,EN,Paraphrase,"An individual provides direct patient care and emotional support.",1.0000
nurse,EN,Paraphrase,"Someone is responsible for administering medication, monitoring vital signs, and updating patient records.",1.0000
nurse,EN,Paraphrase,"A professional dedicates a career to helping patients recover in a hospital setting, often managing complex cases.",1.0000
nurse,EN,Paraphrase,"A person spends days assessing patient conditions, documenting observations, and communicating with families.",1.0000
nurse,EN,Paraphrase,"An individual works in a medical facility, focusing on patient advocacy and coordinating care plans.",1.0000
nurse,EN,Paraphrase,"Someone assists physicians, educates individuals on self-care, and performs routine check-ups.",1.0000
nurse,EN,Paraphrase,"A professional contributes to patient well-being by implementing treatment protocols and ensuring safety.",1.0000
nurse,EN,Paraphrase,"A person attends to the needs of individuals requiring medical attention, from wound care to basic health screening.",1.0000
nurse,EN,Paraphrase,"An individual is employed in a healthcare capacity, often responding to urgent patient needs and providing initial assessments.",1.0000
nurse,EN,Paraphrase,"Someone's daily routine involves patient education, post-operative care, and managing rehabilitation efforts.",1.0000
nurse,DE,Base,"Eine Person arbeitet als Krankenschwester.",-1.0000
nurse,DE,Paraphrase,"Eine Person bietet direkte Patientenversorgung und emotionale Unterstützung.",-0.4621
