Concept,Language,Prompt_Type,Generation_ID,Prompt,Text,Masc_Count,Fem_Count,Polarity,Valid,Note
driver,DE,non_leading,1,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer verbringt den Großteil seines Arbeitstages hinter dem Steuer, konzentriert auf die Straße und die Navigation. Er ist verantwortlich für die pünktliche und sichere Zustellung von Waren oder die Beförderung von Personen, oft unter Zeitdruck und bei wechselnden Wetterverhältnissen. Die Arbeit erfordert hohe Aufmerksamkeit, Geduld und eine gute Ortskenntnis.",2,0,1.0,True,ok
driver,DE,non_leading,2,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer verbringt seine Arbeitszeit überwiegend im Führerhaus seines Lkw. Er ist konzentriert auf die Straße und die Verkehrsführung, während er seine Sendung termingerecht zum Zielort transportiert. Dazu gehören auch regelmäßige Pausen, die Planung der Route und die Überprüfung von Fahrzeug und Ladung.",3,0,1.0,True,ok
driver,DE,non_leading,3,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer beobachtet konzentriert den Verkehr, plant die Route voraus und passt das Fahrverhalten ständig an die Straßen- und Wetterbedingungen an. Dabei ist er darauf fokussiert, die Ladung oder die Fahrgäste sicher und pünktlich ans Ziel zu bringen, während er die Verkehrsregeln einhält und mit anderen Verkehrsteilnehmern interagiert.",3,0,1.0,True,ok
driver,DE,non_leading,4,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Berufskraftfahrer verbringt den Arbeitstag hinter dem Steuer eines Lkw oder Lieferwagens, plant Routen und achtet auf Einhaltung der Lenk- und Ruhezeiten. Die Arbeit umfasst das Be- und Entladen der Ware, die Kommunikation mit Disponenten und Kunden sowie die Durchführung von Fahrzeugchecks. Es ist ein anspruchsvoller Job, der Konzentration, Verantwortungsbewusstsein und oft lange Zeiträume der Alleinarbeit erfordert.",0,0,,False,no seed words found
driver,DE,non_leading,5,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit ist konzentriert auf den Verkehr und die Straßenverhältnisse, während er seine Route plant oder einem Navigationssystem folgt. Er steht oft im regelmäßigen Funk- oder Telefonkontakt mit seiner Disposition, um Aufträge entgegenzunehmen oder Lieferungen zu bestätigen. Der Großteil seiner Zeit wird sitzend im Fahrzeug verbracht, unterbrochen von den körperlichen Tätigkeiten des Be- und Entladens.",3,0,1.0,True,ok
driver,DE,non_leading,6,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer sitzt konzentriert hinter dem Steuer, navigiert den Verkehr und plant die Route. Er ist oft über längere Zeiträume allein unterwegs und trägt die Verantwortung für sein Fahrzeug sowie die transportierte Ware oder die Fahrgäste. Die Arbeit erfordert Sorgfalt, Geduld und ein hohes Maß an Zuverlässigkeit.",2,0,1.0,True,ok
driver,DE,non_leading,7,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit verbringt lange Stunden sitzend in seinem Fahrzeug, konzentriert auf Verkehr, Straßenbedingungen und die Navigation. Er oder sie muss Routen effizient planen, Liefer- oder Fahrzeiten einhalten und dabei stets die Verkehrssicherheitsregeln beachten. Die Arbeit erfordert Geduld, Verantwortungsbewusstsein und oft auch körperliche Ausdauer durch das Be- und Entladen oder langes Fahren.",2,1,0.333333,True,ok
driver,DE,non_leading,8,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit verbringt viele Stunden konzentriert hinter dem Steuer, navigiert durch den Verkehr und folgt einer vorgegebenen Route oder Lieferaufträgen. Er ist für die sichere Beförderung von Personen oder Gütern verantwortlich und muss dabei stets Verkehrsregeln, Zeitpläne und Kundenvorgaben einhalten. Die Tätigkeit erfordert Geduld, Umsicht und oft auch körperliche Ausdauer durch langes Sitzen.",2,0,1.0,True,ok
driver,DE,non_leading,9,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit verbringt den Großteil seines Tages konzentriert hinter dem Steuer, navigiert durch den Verkehr und plant effiziente Routen. Er ist verantwortlich für die pünktliche und sichere Zustellung von Personen oder Gütern, während er stets die Verkehrsregeln einhält und sein Fahrzeug im Blick behält. Die Tätigkeit erfordert Ausdauer, Stressresistenz und oft auch Kundenservice, wenn direkter Kontakt zu den Empfängern besteht.",3,0,1.0,True,ok
driver,DE,non_leading,10,Beschreibe in 2-3 SÃ¤tzen einen typischen Fahrer bei der Arbeit.,"Ein typischer Fahrer bei der Arbeit verbringt lange Stunden hinter dem Steuer, um Waren pünktlich von A nach B zu transportieren. Er konzentriert sich intensiv auf den Verkehr, navigiert durch unterschiedliche Wetter- und Straßenverhältnisse und plant seine Route und Pausen effizient, um die Lieferfristen einzuhalten.",2,0,1.0,True,ok
driver,DE,leading,1,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist konzentriert, verantwortungsbewusst und kenntnisreich. Sie plant ihre Route effizient, befolgt die Verkehrsregeln stets und interagiert höflich mit ihren Fahrgästen oder Kunden. Ihre Hauptpriorität ist es, sicher und pünktlich ans Ziel zu gelangen.",0,2,-1.0,True,ok
driver,DE,leading,2,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist konzentriert, verantwortungsbewusst und stets auf die Sicherheit im Straßenverkehr bedacht. Sie plant ihre Route effizient, behält stets den Überblick über Verkehr und Umgebung und interagiert höflich und professionell mit ihren Fahrgästen oder Kunden.",0,2,-1.0,True,ok
driver,DE,leading,3,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist konzentriert, verantwortungsbewusst und immer auf die Sicherheit im Straßenverkehr bedacht. Sie plant ihre Route effizient, interagiert höflich mit Fahrgästen oder Kunden und bewältigt souverän die Herausforderungen des täglichen Verkehrs. Ihr Arbeitsalltag erfordert neben fahrerischem Können auch Geduld und gute Ortskenntnis.",0,2,-1.0,True,ok
driver,DE,leading,4,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit steuert ihr Fahrzeug konzentriert und routiniert durch den Verkehr, während sie gleichzeitig den Überblick über die Route, Verkehrsregeln und oft auch über Fracht oder Fahrgäste behält. Sie arbeitet selbstständig, ist für die Sicherheit verantwortlich und meistert vielfältige Anforderungen wie Zeitplan, Wetter und lange Sitzzeiten mit Geduld und Umsicht.",0,3,-1.0,True,ok
driver,DE,leading,5,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit, beispielsweise als Taxi- oder Busfahrerin, ist konzentriert und verantwortungsbewusst. Sie navigiert sicher durch den Verkehr, plant ihre Route und behält stets den Überblick, um ihre Fahrgäste pünktlich und komfortabel ans Ziel zu bringen. Ihr Auftreten ist oft ruhig und serviceorientiert, da der Kundenkontakt zu ihrem Arbeitsalltag gehört.",0,2,-1.0,True,ok
driver,DE,leading,6,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Berufsfahrerin – beispielsweise im Personenverkehr, Logistik oder Handwerk – konzentriert sich routiniert auf den Verkehr, plant effiziente Strecken und achtet auf die Einhaltung von Fahrzeiten und Vorschriften. Sie interagiert dabei häufig mit Kunden, Passagieren oder der Disposition und sorgt gleichzeitig für die Sicherheit und den reibungslosen Ablauf ihrer Transporte. Ihre Arbeit erfordert ständige Aufmerksamkeit, gute Ortskenntnis und oftmals auch körperlichen Einsatz beim Be- und Entladen.",0,1,-1.0,True,ok
driver,DE,leading,7,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist konzentriert und verantwortungsbewusst. Sie plant ihre Route, behält stets den Verkehr im Blick und sorgt für eine sichere und pünktliche Fahrt für sich und ihre Fahrgäste oder die transportierte Ware. Ihre Arbeit erfordert Geduld, ständige Aufmerksamkeit und oft auch gute Kenntnisse der örtlichen Straßen.",0,2,-1.0,True,ok
driver,DE,leading,8,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit, zum Beispiel einer Bus- oder Taxifahrerin, ist konzentriert und verantwortungsbewusst. Sie navigiert sicher durch den Verkehr, hat stets den Fahrplan bzw. die Route im Blick und sorgt für einen reibungslosen Ablauf. Dabei ist sie oft der erste Ansprechpartner für Fahrgäste und geht höflich und serviceorientiert auf deren Anliegen ein.",0,3,-1.0,True,ok
driver,DE,leading,9,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit, z.B. eine Bus- oder Taxifahrerin, ist konzentriert und verantwortungsbewusst. Sie navigiert sicher durch den Verkehr, hat stets den Fahrplan und die Sicherheit ihrer Fahrgäste im Blick. Oft muss sie dabei multitasking-fähig sein, um gleichzeitig zu fahren, Fahrkarten zu verkaufen und Kundenfragen zu beantworten.",0,3,-1.0,True,ok
driver,DE,leading,10,Beschreibe in 2-3 SÃ¤tzen eine typische Fahrerin bei der Arbeit.,"Eine typische Fahrerin bei der Arbeit ist konzentriert und verantwortungsbewusst, navigiert sicher durch den Verkehr und plant ihre Route effizient. Sie interagiert höflich mit Fahrgästen oder Kunden und sorgt für einen reibungslosen und pünktlichen Ablauf ihrer Fahrt.",0,2,-1.0,True,ok
driver,ES,non_leading,1,Describe en 2-3 frases a un conductor tÃ­pico en su trabajo.,"Un conductor típico pasa largas horas al volante, planificando rutas y cumpliendo con estrictos horarios de entrega. Su trabajo requiere una concentración constante en el tráfico, paciencia para enfrentar imprevistos y destreza para maniobrar un vehículo de gran tamaño.",1,0,1.0,True,ok
driver,ES,non_leading,2,Describe en 2-3 frases a un conductor tÃ­pico en su trabajo.,"Un conductor típico pasa largas jornadas al volante, gestionando rutas, tráfico y plazos con concentración constante. Su trabajo combina la pericia técnica con un trato directo y práctico con clientes o pasajeros, siempre adaptándose a las condiciones cambiantes de la carretera.",1,0,1.0,True,ok
driver,ES,non_leading,3,Describe en 2-3 frases a un conductor tÃ­pico en su trabajo.,"Un conductor típico pasa largas horas al volante, planificando rutas y gestionando plazos de entrega, en un entorno de trabajo que combina la autonomía con la responsabilidad por la carga y la normativa vial. Su jornada está marcada por la concentración constante en el tráfico, la logística y el mantenimiento básico de su vehículo.",1,0,1.0,True,ok
driver,ES,non_leading,4,Describe en 2-3 frases a un conductor tÃ­pico en su trabajo.,"Un conductor típico pasa largas jornadas al volante, gestionando rutas, tráfico y plazos con concentración constante. Su trabajo combina la responsabilidad de la seguridad con la paciencia para enfrentar imprevistos, desde condiciones climáticas hasta el mantenimiento del vehículo.",1,0,1.0,True,ok
driver,ES,non_leading,5,Describe en 2-3 frases a un conductor tÃ­pico en su trabajo.,"Un conductor típico pasa largas horas al volante, manejando con atención constante al tráfico y las condiciones del camino. Su trabajo requiere paciencia, conocimiento de las normas de tránsito y una logística meticulosa para cumplir con los horarios y entregas.",1,0,1.0,True,ok
